College Name,Branch Name,Cutoff Rank,City,OPEN Percentile,SC Percentile,ST Percentile,NT1 Percentile,OBC Percentile,EWS Percentile,TWFS Percentile
Government College of Pharmacy,Pharm D,1665,Amravati,96.98,90.87,87.83,92.01,96.89,97.60,99.00
Government College of Pharmacy,Pharmacy,1089,Amravati,97.83,95.86,87.99,96.32,97.53,97.94,99.00
J.S.P Mandal's Sudhakarrao Naik Institute of Pharmacy,Pharmacy,8740,Yavatmal,88.44,78.01,69.66,81.26,85.43,85.34,93.24
Vidya Bharati College of Pharmacy,Pharmacy,2427,Amravati,95.86,93.60,81.09,91.52,95.21,92.45,96.84
Anuradha College Of Pharmacy,Pharmacy,7549,Chikhli,89.75,78.87,55.89,86.17,89.09,81.03,94.74
Yavatmal Zilla Vikas Samitee's Pataldhamal Wadhwani College of Pharmacy,Pharmacy,12175,Yavatmal,84.53,80.05,55.81,82.02,83.52,81.30,92.11
Shri Gurudatta Shikshan Prasarak Sanstha's Institute of Pharmacy,Pharmacy,6747,Akola,90.65,88.17,82.13,82.86,87.77,84.80,95.21
Dr. Rajendra Gode College of Pharmacy,Pharmacy,17844,Malkapur,78.02,71.11,52.55,77.14,76.08,64.46,92.70
Shri Chhatrapati Shahumaharaj Shikshan Santha's Institute Of Pharmacy,Pharmacy,30328,Maregaon,61.85,50.90,10.97,34.52,53.11,2.28,77.49
Paramhansa Ramkrishna Maunibaba Shikshan Santha's Anuradha College of Pharmacy,Pharmacy,19076,Chikhali,76.92,46.85,1.49,71.11,74.59,66.76,85.67
Navsanjivan Shikshan Mandal's College of Pharmacy,Pharmacy,23670,Dharwa,71.25,58.26,66.45,62.39,66.81,61.95,84.70
Shri.Durgamata Bahuudeshiya Krida and  Shaikshanik Sanstha,Ishwar Deshmukh Institute Of Pharmacy,Pharmacy,19528,Digras,76.09,64.77,54.62,30.62,74.25,71.21,86.39
Matoshri Education Society's Satyajeet College of Pharmacy,Pharmacy,34305,Buldhana,54.60,25.58,53.96,38.27,48.81,9.81,67.46
Shree Swami Samarth Institute of Pharmacy,Pharmacy,17845,Amravati,78.02,67.58,15.68,66.96,73.06,49.88,89.58
